Customer_ID,Customer_Name,Age,Sales,Order_Date,Region,Rating
CUST1000,Amit,25.0,574.51,2025-08-02,East,2.0
CUST1001,Amit,65.0,479.26,2022-10-13,North,3.4
CUST1002,Amit,,597.15,2022-03-07,South,1.9
CUST1003,Vikram,19.0,728.45,2025-05-17,South,3.9
CUST1004,Priya,44.0,464.88,2025-01-21,West,3.4
CUST1005,Neha,28.0,464.88,2022-01-14,West,2.4
CUST1006,Rahul,unknown,736.88,2022-11-15,North,1.4
CUST1007,Rahul,40.0,615.12,2022-07-18,East,4.2
CUST1008,Amit,52.0,429.58,2024-07-29,West,1.3
CUST1009,Vikram,58.0,,2023-08-24,East,3.3
CUST1010,Neha,20.0,430.49,2022-05-23,South,4.1
CUST1011,Amit,32.0,430.14,2022-06-13,West,2.1
CUST1012,Priya,41.0,536.29,2025-07-25,East,2.4
CUST1013,Neha,35.0,213.01,2025-10-04,North,3.4
CUST1014,Neha,52.0,241.26,2022-12-17,South,1.7
CUST1015,Neha,,415.66,2024-02-17,South,3.7
CUST1016,Amit,32.0,348.08,2022-04-25,East,2.6
CUST1017,Vikram,31.0,547.14,2022-05-16,East,1.9
CUST1018,Neha,43.0,363.8,2024-10-19,West,1.6
CUST1019,Neha,33.0,288.15,2022-10-13,East,4.0
CUST1020,Sneha,55.0,719.85,2024-05-27,East,1.9
CUST1021,Sneha,50.0,466.13,2022-10-11,North,4.0
CUST1022,Neha,27.0,510.13,2022-08-13,South,4.2
CUST1023,Amit,56.0,286.29,2024-05-14,West,2.5
CUST1024,Rahul,51.0,418.34,2024-08-16,North,3.7
CUST1025,Vikram,61.0,516.64,2022-08-23,East,4.1
CUST1026,Rahul,25.0,327.35,2023-11-28,West,1.6
CUST1027,Neha,64.0,556.35,2022-01-07,East,4.9
CUST1028,Amit,50.0,409.9,2023-01-01,,4.4
CUST1029,Priya,56.0,456.25,2024-11-05,South,2.5
CUST1030,Vikram,52.0,409.74,2022-11-27,North,3.4
CUST1031,Amit,19.0,777.84,2024-09-27,East,4.5
CUST1032,Amit,33.0,497.98,2023-09-22,South,4.5
CUST1033,Neha,23.0,341.34,2022-06-11,West,4.3
CUST1034,Priya,26.0,,2024-12-26,West,4.8
CUST1035,Vikram,34.0,316.87,2022-12-05,West,4.9
CUST1036,Neha,64.0,531.33,2025-01-09,South,3.9
CUST1037,Neha,60.0,206.05,2024-03-28,East,2.8
CUST1038,Amit,46.0,300.77,2024-11-25,South,1.9
CUST1039,Vikram,19.0,529.53,2023-11-24,South,3.4
CUST1040,Neha,22.0,610.77,2022-01-15,North,1.9
CUST1041,Amit,39.0,,2022-03-06,South,2.1
CUST1042,Vikram,31.0,error,2024-09-21,South,3.9
CUST1043,Sneha,54.0,454.83,2025-03-15,South,4.1
CUST1044,Amit,30.0,278.22,2024-04-13,North,3.6
CUST1045,Sneha,45.0,392.02,2023-12-27,West,4.5
CUST1046,Neha,61.0,430.9,2022-04-21,North,1.2
CUST1047,Priya,24.0,,2023-11-26,South,1.8
CUST1048,Sneha,26.0,551.54,2024-07-07,South,2.1
CUST1049,Sneha,22.0,235.54,2023-05-27,North,1.2
CUST1050,Amit,18.0,548.61,2025-01-12,South,1.7
CUST1051,Priya,48.0,442.24,2024-09-21,West,4.6
CUST1052,Amit,42.0,398.46,2022-12-04,West,2.1
CUST1053,Sneha,36.0,591.75,2024-07-20,West,1.6
CUST1054,Amit,31.0,654.65,2023-08-31,North,4.0
CUST1055,Vikram,21.0,639.69,2022-04-28,West,3.0
CUST1056,Amit,28.0,374.12,2024-12-23,,4.4
CUST1057,Amit,56.0,453.62,2022-05-21,South,2.6
CUST1058,Vikram,33.0,549.69,2025-03-12,North,3.5
CUST1059,Vikram,60.0,646.33,2024-05-08,East,4.7
CUST1060,Neha,60.0,428.12,2023-02-23,,2.0
CUST1061,Neha,26.0,472.15,2024-03-21,East,2.8
CUST1062,Sneha,18.0,334.05,2022-05-29,North,1.3
CUST1063,Rahul,,320.57,2023-03-13,South,4.7
CUST1064,Rahul,33.0,621.88,2022-05-21,East,1.6
CUST1065,Rahul,63.0,703.44,2025-01-17,North,3.7
CUST1066,Neha,37.0,489.2,2025-02-09,North,4.8
CUST1067,Amit,,650.53,2022-10-03,North,4.0
CUST1068,Rahul,35.0,554.25,2022-11-15,South,3.9
CUST1069,Neha,61.0,403.23,2023-02-21,East,3.0
CUST1070,Amit,21.0,,2023-05-30,West,4.3
CUST1071,Rahul,18.0,730.71,2022-04-01,South,3.5
CUST1072,Neha,28.0,494.63,2023-06-21,West,3.2
CUST1073,Amit,53.0,734.7,2024-05-25,North,1.3
CUST1074,Amit,52.0,107.04,2022-11-02,East,3.3
CUST1075,Priya,45.0,623.29,2022-10-31,North,2.2
CUST1076,Priya,,36990,2022-03-23,South,3.7
CUST1077,Sneha,53.0,,2023-12-26,South,4.7
CUST1078,Priya,,513.76,2023-04-30,,1.1
CUST1079,Neha,44.0,error,2023-11-12,South,2.1
CUST1080,Amit,42.0,467.05,2022-08-10,West,1.9
CUST1081,Rahul,40.0,553.57,2024-07-31,South,1.9
CUST1082,Sneha,30.0,721.68,2025-09-13,East,2.1
CUST1083,Rahul,35.0,422.26,2022-05-23,West,3.7
CUST1084,Amit,39.0,378.73,2025-01-03,North,4.5
CUST1085,Vikram,29.0,424.74,2023-06-19,East,1.2
CUST1086,Rahul,45.0,637.31,2025-05-06,East,2.7
CUST1087,Sneha,25.0,549.31,2024-11-13,South,2.0
CUST1088,Vikram,18.0,420.54,2024-06-12,South,2.5
CUST1089,Rahul,60.0,576.99,2022-05-24,East,3.7
CUST1090,Rahul,64.0,,2022-09-13,East,3.7
CUST1091,Neha,43.0,645.3,2023-10-31,East,3.2
CUST1092,Neha,44.0,394.69,2023-01-28,West,3.7
CUST1093,Vikram,57.0,450.85,2022-12-23,East,2.6
CUST1094,Rahul,37.0,441.18,2022-01-01,South,2.7
CUST1095,Neha,56.0,280.47,2025-04-02,East,2.9
CUST1096,Priya,61.0,544.42,2024-06-24,West,4.2
CUST1097,Amit,60.0,539.16,2022-12-14,East,3.1
CUST1098,Rahul,57.0,500.77,2025-07-20,North,4.3
CUST1099,Rahul,61.0,464.81,2023-04-27,South,4.2
CUST1100,Amit,19.0,287.69,2022-10-29,South,4.9
CUST1101,Sneha,,436.9,2025-06-05,West,
CUST1102,Neha,30.0,448.59,2025-03-24,West,3.0
CUST1103,Neha,27.0,379.66,2023-05-15,North,4.6
CUST1104,Priya,45.0,475.81,2022-08-07,South,4.2
CUST1105,Amit,47.0,,2024-11-26,South,4.7
CUST1106,Priya,47.0,782.93,2022-09-06,West,3.7
CUST1107,Rahul,56.0,526.19,2025-02-18,West,3.5
CUST1108,Vikram,45.0,538.63,2024-10-30,West,4.6
CUST1109,Rahul,46.0,488.83,2024-08-30,South,4.4
CUST1110,Sneha,51.0,212.18,2023-07-22,South,2.1
CUST1111,Rahul,63.0,,2022-06-08,South,2.1
CUST1112,Amit,52.0,509.03,2023-10-17,South,1.6
CUST1113,Priya,62.0,869.49,2024-02-24,South,1.3
CUST1114,Vikram,39.0,40109,2024-04-14,West,2.7
CUST1115,Sneha,44.0,545.23,2023-02-28,North,4.4
CUST1116,Sneha,42.0,494.79,2025-03-25,North,4.8
CUST1117,Sneha,42.0,324.7,2023-09-04,South,3.0
CUST1118,Sneha,45.0,671.42,2023-07-13,North,2.6
CUST1119,Sneha,61.0,612.79,2025-10-01,South,4.4
CUST1120,Vikram,57.0,618.65,2022-09-19,North,4.6
CUST1121,Neha,54.0,363.59,2025-04-27,North,1.3
CUST1122,Sneha,26.0,710.42,2024-05-27,South,1.2
CUST1123,Priya,38.0,289.72,2024-02-16,West,2.3
CUST1124,Sneha,35.0,588.03,2024-02-16,East,4.3
CUST1125,Neha,19.0,828.57,2024-08-21,North,5.0
CUST1126,Neha,32.0,351.42,2023-12-18,North,4.1
CUST1127,Amit,20.0,415.06,2025-08-27,South,1.8
CUST1128,Priya,57.0,,2022-02-11,South,1.5
CUST1129,Vikram,25.0,424.48,2025-10-03,South,2.9
CUST1130,Priya,41.0,267.4,2023-06-09,North,
CUST1131,Amit,37.0,510.28,2022-12-02,North,4.7
CUST1132,Sneha,61.0,340.65,2025-03-25,West,4.8
CUST1133,Vikram,22.0,571.04,2023-02-11,South,1.4
CUST1134,Vikram,61.0,362.09,2023-09-10,North,4.2
CUST1135,Rahul,20.0,44510,2025-03-05,West,3.6
CUST1136,Neha,50.0,382.51,2022-05-22,East,1.1
CUST1137,Amit,49.0,451.69,2024-05-10,West,4.8
CUST1138,Neha,47.0,622.03,2025-07-25,,2.7
CUST1139,Rahul,59.0,315.37,2024-12-04,,2.9
CUST1140,Rahul,35.0,534.12,2025-04-28,South,4.3
CUST1141,Sneha,35.0,696.07,2022-06-27,South,4.0
CUST1142,Neha,57.0,258.88,2025-03-13,West,2.3
CUST1143,Priya,38.0,527.7,2024-10-09,West,1.8
CUST1144,Rahul,39.0,538.98,2023-06-14,East,3.2
CUST1145,Amit,30.0,617.27,2024-11-24,South,3.9
CUST1146,Priya,53.0,314.46,2024-09-27,West,3.6
CUST1147,Amit,46.0,39267,2024-10-02,North,2.2
CUST1148,Priya,62.0,578.29,2024-04-08,East,3.7
CUST1149,Vikram,48.0,544.55,2024-01-26,East,2.7
CUST1150,Rahul,39.0,537.57,2025-02-01,West,2.1
CUST1151,Amit,32.0,551.97,2023-05-30,South,2.3
CUST1152,Priya,62.0,398.0,2025-01-02,South,1.9
CUST1153,Neha,35.0,534.84,2024-09-18,East,4.9
CUST1154,Priya,,543.96,2023-02-02,East,1.7
CUST1155,Vikram,63.0,392.85,2022-01-29,South,2.1
CUST1156,Rahul,53.0,779.87,2022-04-22,South,3.6
CUST1157,Amit,24.0,571.07,2024-10-02,East,2.9
CUST1158,Priya,39.0,321.3,2024-06-21,North,2.0
CUST1159,Amit,25.0,598.48,2024-09-05,West,3.0
CUST1160,Neha,58.0,353.8,2025-03-27,North,
CUST1161,Amit,37.0,618.06,2025-02-26,South,1.5
CUST1162,Vikram,56.0,673.79,2024-05-02,South,4.1
CUST1163,Sneha,46.0,376.9,2024-02-19,East,4.4
CUST1164,Vikram,37.0,644.51,2024-05-28,North,3.4
CUST1165,Neha,31.0,561.92,2022-07-23,South,2.1
CUST1166,Priya,28.0,623.31,2022-06-16,South,3.2
CUST1167,Sneha,18.0,784.52,2022-11-17,West,3.8
CUST1168,Amit,36.0,463.19,2024-08-20,South,2.2
CUST1169,Sneha,,386.94,2023-08-03,North,3.7
CUST1170,Vikram,58.0,366.57,2023-06-26,South,2.7
CUST1171,Neha,32.0,377.63,2025-01-20,South,4.6
CUST1172,Amit,22.0,488.43,2022-10-19,South,4.2
CUST1173,Vikram,65.0,551.17,2025-05-03,East,2.8
CUST1174,Rahul,62.0,541.5,2024-08-17,West,
CUST1175,Sneha,52.0,624.08,2024-10-21,West,1.3
CUST1176,Neha,45.0,501.95,2022-03-23,East,3.4
CUST1177,Priya,23.0,718.03,2022-02-22,North,5.0
CUST1178,Vikram,35.0,460.3,2025-10-08,North,4.1
CUST1179,Vikram,48.0,908.03,2022-12-25,West,4.7
CUST1180,Sneha,55.0,593.85,2023-01-07,West,4.9
CUST1181,Sneha,40.0,371.43,2024-08-20,,2.3
CUST1182,Rahul,,339.37,2022-08-03,West,3.8
CUST1183,Sneha,60.0,572.37,2023-08-14,North,2.8
CUST1184,Rahul,34.0,466.48,2023-10-07,North,4.9
CUST1185,Amit,50.0,607.1,2024-04-07,West,2.7
CUST1186,Rahul,51.0,570.99,2023-01-20,West,3.5
CUST1187,Rahul,31.0,489.08,2022-04-16,South,4.7
CUST1188,Sneha,62.0,372.98,2024-06-16,North,1.1
CUST1189,Priya,56.0,272.77,2025-07-14,South,2.2
CUST1190,Sneha,53.0,433.02,2022-01-29,North,1.9
CUST1191,Amit,47.0,628.46,2022-08-21,South,3.0
CUST1192,Neha,50.0,532.11,2023-08-21,East,2.7
CUST1193,Priya,48.0,313.14,2024-09-15,West,3.2
CUST1194,Vikram,,525.98,2024-02-25,South,4.5
CUST1195,Rahul,44.0,557.8,2023-07-20,East,4.3
CUST1196,Rahul,64.0,,2023-08-03,West,4.5
CUST1197,Sneha,52.0,523.06,2024-07-03,East,2.3
CUST1198,Sneha,42.0,508.73,2025-01-17,East,4.5
CUST1199,Sneha,54.0,328.55,2023-05-05,,4.4
CUST1200,Rahul,20.0,26193,2024-04-21,West,3.8
CUST1201,Neha,42.0,584.12,2024-02-20,South,3.0
CUST1202,Vikram,26.0,662.46,2022-03-17,East,4.5
CUST1203,Vikram,24.0,658.07,2024-06-20,West,1.1
CUST1204,Neha,unknown,293.35,2022-10-23,South,1.3
CUST1205,Vikram,39.0,359.33,2023-06-27,West,3.6
CUST1206,Vikram,61.0,577.26,2023-11-04,West,4.8
CUST1207,Sneha,63.0,577.07,2025-07-07,North,3.5
CUST1208,Neha,,577.26,2023-04-26,East,5.0
CUST1209,Amit,45.0,1077.91,2022-07-05,,2.8
CUST1210,Amit,19.0,585.63,2023-09-06,East,4.2
CUST1211,Rahul,40.0,670.33,2023-08-24,,1.6
CUST1212,Vikram,44.0,643.1,2024-12-23,South,1.7
CUST1213,Sneha,57.0,597.71,2022-06-11,South,3.0
CUST1214,Priya,27.0,452.71,2025-04-09,West,3.6
CUST1215,Neha,34.0,613.85,2024-07-30,North,4.6
CUST1216,Neha,36.0,384.08,2024-08-10,South,1.3
CUST1217,Rahul,55.0,464.48,2023-12-09,West,3.8
CUST1218,Priya,37.0,427.2,2024-07-24,West,4.4
CUST1219,Sneha,33.0,512.28,2022-08-07,East,3.3
CUST1220,Neha,19.0,847.2,2023-08-28,West,2.1
CUST1221,Neha,61.0,219.91,2025-03-05,North,4.6
CUST1222,Priya,36.0,602.94,2024-10-14,East,1.9
CUST1223,Rahul,57.0,258.09,2023-01-25,South,3.5
CUST1224,Amit,59.0,429.21,2025-07-09,East,4.2
CUST1225,Rahul,55.0,663.34,2022-03-10,South,1.4
CUST1226,Neha,38.0,509.64,2023-08-28,West,1.7
CUST1227,Rahul,52.0,338.34,2022-09-28,East,4.3
CUST1228,Rahul,48.0,392.7,2023-06-11,East,4.2
CUST1229,Priya,22.0,601.94,2024-08-17,South,4.4
CUST1230,Vikram,43.0,390.45,2025-10-13,East,1.4
CUST1231,Rahul,18.0,532.47,2024-03-19,North,2.8
CUST1232,Neha,65.0,506.84,2025-10-09,,3.3
CUST1233,Amit,41.0,402.26,2025-07-31,South,2.9
CUST1234,Rahul,53.0,821.59,2025-06-22,South,3.6
CUST1235,Neha,47.0,595.09,2025-07-25,East,3.6
CUST1236,Amit,26.0,196.23,2022-08-27,North,
CUST1237,Amit,25.0,527.97,2024-10-05,South,4.5
CUST1238,Sneha,42.0,400.73,2022-10-05,East,3.7
CUST1239,Vikram,44.0,627.87,2025-01-11,South,4.5
CUST1240,Sneha,24.0,381.12,2025-09-03,West,4.8
CUST1241,Neha,20.0,,2023-07-27,East,1.9
CUST1242,Rahul,33.0,575.75,2024-06-29,North,4.9
CUST1243,Neha,52.0,629.86,2024-01-23,East,1.2
CUST1244,Amit,30.0,319.96,2023-07-20,West,
CUST1245,Neha,59.0,449.82,2023-03-11,North,1.2
CUST1246,Priya,33.0,428.76,2023-11-15,South,1.3
CUST1247,Vikram,31.0,402.0,2025-02-09,South,4.3
CUST1248,Priya,39.0,764.82,2023-04-23,North,2.1
CUST1249,Vikram,,560.75,2022-10-24,East,
CUST1250,Amit,60.0,310.87,2022-08-14,South,1.1
CUST1251,Rahul,55.0,,2023-05-03,,1.7
CUST1252,Neha,26.0,818.32,2022-04-18,West,3.1
CUST1253,Sneha,48.0,654.87,2022-05-11,East,3.1
CUST1254,Vikram,46.0,272.09,2022-08-12,,4.8
CUST1255,Neha,64.0,427.36,2022-03-30,East,2.8
CUST1256,Sneha,21.0,690.04,2022-03-05,West,2.7
CUST1257,Neha,49.0,393.85,2022-08-10,West,1.3
CUST1258,Vikram,38.0,566.57,2022-06-15,South,1.3
CUST1259,Neha,57.0,616.2,2023-07-18,East,2.5
CUST1260,Rahul,51.0,360.96,2025-05-08,West,3.0
CUST1261,Neha,24.0,491.07,2024-05-31,North,4.4
CUST1262,Neha,53.0,13.81,2025-08-26,South,2.7
CUST1263,Rahul,44.0,346.34,2023-04-13,West,2.6
CUST1264,Sneha,38.0,462.11,2022-07-14,East,3.7
CUST1265,Neha,27.0,312.83,2024-02-06,West,1.3
CUST1266,Sneha,23.0,744.86,2022-06-24,North,4.0
CUST1267,Vikram,26.0,285.48,2024-02-03,North,3.3
CUST1268,Rahul,53.0,error,2025-02-24,North,2.6
CUST1269,Neha,45.0,46322,2025-09-24,North,4.9
CUST1270,Rahul,37.0,716.19,2025-05-14,North,3.3
CUST1271,Neha,27.0,284.62,2023-03-12,West,
CUST1272,Vikram,40.0,674.47,2022-08-10,East,1.5
CUST1273,Priya,54.0,501.53,2023-07-25,West,4.4
CUST1274,Neha,57.0,352.77,2025-06-27,North,
CUST1275,Rahul,62.0,569.32,2025-09-09,North,1.7
CUST1276,Rahul,39.0,529.86,2023-09-25,North,1.7
CUST1277,Neha,54.0,409.97,2022-10-21,,1.3
CUST1278,Amit,19.0,510.47,2025-07-20,South,2.5
CUST1279,Priya,39.0,442.2,2024-07-18,East,2.2
CUST1280,Vikram,54.0,517.03,2023-10-27,North,4.5
CUST1281,Vikram,28.0,599.32,2022-11-15,North,3.7
CUST1282,Neha,46.0,737.9,2023-07-12,West,2.9
CUST1283,Rahul,44.0,314.33,2024-06-24,South,4.0
CUST1284,Sneha,40.0,819.96,2022-08-22,North,2.1
CUST1285,Sneha,55.0,207.19,2025-10-21,East,1.2
CUST1286,Amit,56.0,477.23,2024-03-20,North,1.8
CUST1287,Rahul,26.0,error,2023-03-09,East,2.3
CUST1288,Neha,49.0,542.15,2022-01-16,West,1.7
CUST1289,Neha,52.0,406.6,2024-02-18,South,3.0
CUST1290,Amit,40.0,468.78,2025-09-30,West,4.4
CUST1291,Amit,45.0,426.05,2022-03-28,West,4.7
CUST1292,Sneha,54.0,411.6,2023-10-04,West,3.8
CUST1293,Amit,36.0,627.44,2024-05-05,West,1.1
CUST1294,Vikram,28.0,553.55,2023-10-28,West,4.3
CUST1295,Sneha,23.0,396.06,2024-01-12,North,2.0
CUST1296,Vikram,43.0,634.94,2025-04-21,North,2.6
CUST1297,Rahul,65.0,546.09,2023-09-28,South,2.3
CUST1298,Vikram,22.0,621.93,2022-12-11,North,
CUST1299,Rahul,40.0,594.44,2023-02-02,South,1.9
CUST1300,Priya,34.0,375.65,2022-10-27,South,3.4
CUST1301,Priya,22.0,415.97,2025-09-04,West,2.9
